From	To
A4D1B5	GSAP
A4D1P6	WDR91
A4D2H0	CTAGE15
A5PLL1	ANKRD34B
A5PLN9	TRAPPC13
A5YKK6	CNOT1
A6NC48	BST1
A6NC98	CCDC88B
A6NDG6	PGP
A6NEE1	PLEKHD1
A6NEM2	HCFC1
A6NFX8	NUDT5
A6NHR9	SMCHD1
A6NI72	NCF1B
A6NIW2	DOCK11
A6NJW9	CD8B2
A6NKG5	RTL1
A6NKL6	TMEM200C
A6NMN0	PHKA1
A6NND1	RPS6KA1
A7E2V4	ZSWIM8
A8K070	GPS1
A8K727	PLEKHA2
A8MU27	SUMO3
A8MUM1	EIPR1
A8MW92	PHF20L1
A8MWD9	SNRPGP15
A8MWY0	ELAPOR2
A8MXB7	SNX24
A8MXP9	MATR3
A8MYJ1	AKAP13
A9Z1X7	SRRM1
B0I1T2	MYO1G
B0QY89	EIF3L
B0QY95	MIEF1
B0QYN7	UBE2I
B0QZ18	CPNE1
B0QZ40	COMMD6
B0UXQ0	HLA-A
B0YIW2	APOC3
B0YIW6	ARCN1
B1AHD1	SNU13
B1AK88	CAPZB
B1AKR6	DYNLRB1
B1ALK7	ARHGEF7
B1ALM5	TMEM9
B1ANH3	GUK1
B2RUZ4	SMIM1
B3KS98	EIF3H
B3KY94	CDIPT
B4DDD6	DBNL
B4DJL6	INTS14
B4DL54	CHURC1-FNTB
B4DLJ1	USF2
B4DPQ0	C1R
B4DR61	SEC61A1
B4DTS2	PRKD2
B4DUC8	MTAP
B4DUT8	CNN2
B4E0T2	PEX5
B4E0Y9	STK26
B4E2Q0	ATP2C1
B4E3H9	GNLY
B5MBZ0	EML4
B5MD23	TSPAN9
B5ME19	EIF3CL
B7WNT5	TCF7
B7WPE2	EML3
B7WPL0	RIC8B
B7Z2R2	UQCRB
B7Z4C8	RPL31
B7Z645	SYNCRIP
B7Z7N5	RGS6
B7ZC38	SH3GLB2
B7ZKJ8	ITIH4
B8ZZ87	MZT2B
B8ZZN6	SUMO1
B8ZZS0	BET1L
C9IZQ1	SSR1
C9J1E1	BLVRA
C9J2C0	TUBA8
C9J542	PDLIM4
C9J5N1	PTGES3L-AARSD1
C9J6P4	ZC3HAV1
C9J7E5	TNPO3
C9JA08	NMD3
C9JC87	AP4M1
C9JCC6	DRAP1
C9JEH3	AAMP
C9JEJ2	PCYT1A
C9JF17	APOD
C9JFV4	PELP1
C9JFX4	SIGIRR
C9JIF9	APEH
C9JJ19	MRPS34
C9JJN9	VPS8
C9JRL6	EML2
C9JSZ1	FUBP1
C9JU00	FGG
C9JYS5	TVP23C
C9JZG2	GART
C9K0R9	IMPDH1
D3DQV9	EIF4G2
D3DSM0	ITGB2
D3DTX6	PPP1R9B
D3DX19	CLDN5
D3YTA9	PPP3R1
D3YTI2	ACP1
D6R9M0	KIF2A
D6RAM3	DOK3
D6RAN1	PDLIM7
D6RAR4	HGFAC
D6RBQ9	HNRNPD
D6RBT3	NDUFS6
D6RBW1	EIF4E
D6RBZ0	HNRNPAB
D6RCK9	TSC22D3
D6RE79	MFSD10
D6RER5	SEPTIN11
D6REX3	SEC31A
D6RF35	GC
D6RFF8	GNPDA1
D6RFG8	DCK
D6W5Y5	CIRBP
E5KLJ5	OPA1
E5KNQ5	TK2
E5RFR7	TPD52
E5RHZ3	CARD8
E5RIM7	ATOX1
E5RJD8	TBCA
E5RJR5	SKP1
E5RK69	ANXA6
